.HEADER
..NAMES
Time,Dig_V(:cic3_echip65_1x1_top_tb:v)
..UNITS
s,
..DATATYPES
double,bit
..WAVEFORM_TYPES
,bit
..AXIS_SPACING
linear
.DATA
6.633315e-5,'0'
6.652845e-5,'1'
6.691910e-5,'0'
6.711438e-5,'1'
6.770032e-5,'0'
6.789564e-5,'1'
6.828627e-5,'0'
6.848157e-5,'1'
6.887224e-5,'0'
6.906750e-5,'1'
6.965348e-5,'0'
6.984876e-5,'1'
7.043469e-5,'0'
7.063002e-5,'1'
7.102064e-5,'0'
7.121595e-5,'1'
7.160660e-5,'0'
7.180188e-5,'1'
7.238786e-5,'0'
7.258313e-5,'1'
7.316908e-5,'0'
7.336438e-5,'1'
7.375506e-5,'0'
7.395032e-5,'1'
7.453631e-5,'0'
7.473157e-5,'1'
7.531753e-5,'0'
7.551282e-5,'1'
7.609876e-5,'0'
7.629408e-5,'1'
7.668471e-5,'0'
7.688001e-5,'1'
7.746597e-5,'0'
7.766126e-5,'1'
7.824721e-5,'0'
7.844251e-5,'1'
7.902845e-5,'0'
7.922376e-5,'1'
7.980970e-5,'0'
8.000501e-5,'1'
8.039568e-5,'0'
8.059094e-5,'1'
8.137222e-5,'0'
8.156751e-5,'1'
8.215346e-5,'0'
8.234876e-5,'1'
8.293471e-5,'0'
8.313001e-5,'1'
8.371597e-5,'0'
8.391125e-5,'1'
8.449727e-5,'0'
8.469250e-5,'1'
8.547378e-5,'0'
8.566907e-5,'1'
8.625503e-5,'0'
8.645032e-5,'1'
8.703633e-5,'0'
8.723156e-5,'1'
8.801286e-5,'0'
8.820813e-5,'1'
8.898939e-5,'0'
8.918470e-5,'1'
8.977064e-5,'0'
8.996594e-5,'1'
9.055192e-5,'0'
9.074719e-5,'1'
9.172377e-5,'0'
9.191907e-5,'1'
9.250503e-5,'0'
9.270032e-5,'1'
9.348161e-5,'0'
9.367688e-5,'1'
9.465345e-5,'0'
9.484876e-5,'1'
9.543472e-5,'0'
9.563000e-5,'1'
9.660659e-5,'0'
9.680188e-5,'1'
9.758316e-5,'0'
9.777844e-5,'1'
9.875502e-5,'0'
9.895032e-5,'1'
9.973161e-5,'0'
9.992688e-5,'1'
1.010988e-4,'0'
1.012941e-4,'1'
1.020753e-4,'0'
1.022706e-4,'1'
1.034425e-4,'0'
1.036378e-4,'1'
1.046144e-4,'0'
1.048097e-4,'1'
1.061769e-4,'0'
1.063722e-4,'1'
1.073488e-4,'0'
1.075441e-4,'1'
1.089113e-4,'0'
1.091066e-4,'1'
1.104738e-4,'0'
1.106691e-4,'1'
1.122316e-4,'0'
1.124269e-4,'1'
1.139894e-4,'0'
1.141847e-4,'1'
1.159425e-4,'0'
1.161378e-4,'1'
1.182863e-4,'0'
1.184816e-4,'1'
1.206300e-4,'0'
1.208253e-4,'1'
1.235598e-4,'0'
1.237550e-4,'1'
1.274660e-4,'0'
1.276613e-4,'1'
1.317629e-4,'0'
1.319581e-4,'1'
1.391848e-4,'0'
1.393800e-4,'1'
1.542238e-4,'0'
1.544191e-4,'1'
3.878175e-4,'0'
3.880128e-4,'1'
3.891847e-4,'0'
3.893800e-4,'1'
3.915285e-4,'0'
3.917238e-4,'1'
3.938722e-4,'0'
3.940675e-4,'1'
3.954347e-4,'0'
3.956300e-4,'1'
3.973878e-4,'0'
3.975831e-4,'1'
3.985597e-4,'0'
3.987550e-4,'1'
4.001222e-4,'0'
4.003175e-4,'1'
4.014894e-4,'0'
4.016847e-4,'1'
4.026613e-4,'0'
4.028566e-4,'1'
4.036379e-4,'0'
4.038331e-4,'1'
4.050050e-4,'0'
4.052003e-4,'1'
4.059816e-4,'0'
4.061769e-4,'1'
4.071535e-4,'0'
4.073488e-4,'1'
4.081300e-4,'0'
4.083253e-4,'1'
4.089113e-4,'0'
4.091066e-4,'1'
4.100832e-4,'0'
4.102784e-4,'1'
4.110597e-4,'0'
4.112550e-4,'1'
4.118410e-4,'0'
4.120363e-4,'1'
4.128175e-4,'0'
4.130128e-4,'1'
4.137941e-4,'0'
4.139894e-4,'1'
4.145753e-4,'0'
4.147706e-4,'1'
4.155519e-4,'0'
4.157472e-4,'1'
4.163331e-4,'0'
4.165284e-4,'1'
4.171144e-4,'0'
4.173097e-4,'1'
4.178957e-4,'0'
4.180909e-4,'1'
4.188722e-4,'0'
4.190675e-4,'1'
4.196535e-4,'0'
4.198488e-4,'1'
4.204347e-4,'0'
4.206300e-4,'1'
4.212160e-4,'0'
4.214113e-4,'1'
4.219972e-4,'0'
4.221925e-4,'1'
4.225832e-4,'0'
4.227784e-4,'1'
4.235597e-4,'0'
4.237550e-4,'1'
4.243410e-4,'0'
4.245363e-4,'1'
4.249269e-4,'0'
4.251222e-4,'1'
4.257082e-4,'0'
4.259034e-4,'1'
4.264894e-4,'0'
4.266847e-4,'1'
4.272706e-4,'0'
4.274659e-4,'1'
4.278566e-4,'0'
4.280519e-4,'1'
4.286379e-4,'0'
4.288331e-4,'1'
4.294191e-4,'0'
4.296144e-4,'1'
4.300050e-4,'0'
4.302003e-4,'1'
4.307863e-4,'0'
4.309816e-4,'1'
4.313722e-4,'0'
4.315675e-4,'1'
4.321535e-4,'0'
4.323488e-4,'1'
4.327394e-4,'0'
4.329347e-4,'1'
4.335206e-4,'0'
4.337160e-4,'1'
4.341066e-4,'0'
4.343019e-4,'1'
4.346925e-4,'0'
4.348878e-4,'1'
4.354738e-4,'0'
4.356691e-4,'1'
4.360597e-4,'0'
4.362550e-4,'1'
4.368409e-4,'0'
4.370363e-4,'1'
4.374269e-4,'0'
4.376222e-4,'1'
4.380128e-4,'0'
4.382081e-4,'1'
4.385988e-4,'0'
4.387941e-4,'1'
4.393800e-4,'0'
4.395753e-4,'1'
4.397707e-4,'0'
4.399659e-4,'1'
4.405519e-4,'0'
4.407472e-4,'1'
4.411379e-4,'0'
4.413331e-4,'1'
4.419191e-4,'0'
4.421144e-4,'1'
4.423097e-4,'0'
4.425050e-4,'1'
4.430909e-4,'0'
4.432863e-4,'1'
4.434816e-4,'0'
4.436769e-4,'1'
4.442628e-4,'0'
4.444581e-4,'1'
4.448488e-4,'0'
4.450441e-4,'1'
4.454347e-4,'0'
4.456300e-4,'1'
4.460206e-4,'0'
4.462160e-4,'1'
4.464113e-4,'0'
4.466066e-4,'1'
4.471925e-4,'0'
4.473878e-4,'1'
4.477785e-4,'0'
4.479738e-4,'1'
4.483644e-4,'0'
